ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2016,"2016","04000US48","Texas",14720,2458.0390558329213,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2016,"2016","04000US48","Texas",39584,3864.399694648575,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2016,"2016","04000US48","Texas",934,535.620201262051,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2016,"2016","04000US48","Texas",38934,3846.741608166579,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2016,"2016","04000US48","Texas",67734,4835.200202680339,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2016,"2016","04000US48","Texas",91275,5517.470163036679,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2016,"2016","04000US48","Texas",12119,2104.3348117635655,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2016,"2016","04000US48","Texas",69646,5526.345085135383,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2016,"2016","04000US48","Texas",33418,3805.6501415658267,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2016,"2016","04000US48","Texas",27712,3227.6164580073632,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2015,"2015","04000US48","Texas",1243,650.256103393117,"San Antonio, TX","16000US4865000","san-antonio-tx"
